"PPEE"	"PPDE"	"PostFC"	"RealFC"
"ENSG00000256861_AC048338.1"	0	1	89.2053478455883	5550.49623646577
"ENSG00000166147_FBN1"	2.34257058195908e-14	0.999999999999977	0.838333869914964	0.838311616915085
"ENSG00000284431_AL022238.4"	3.94473342879564e-12	0.999999999996055	0.013193165664985	0.000212454505417094
"ENSG00000280987_MATR3"	6.56219523165191e-12	0.999999999993438	1.41424997229604	1.41471509829217
"ENSG00000115053_NCL"	6.50315801209445e-10	0.999999999349684	1.09782654433848	1.09783380379995
"ENSG00000151914_DST"	5.22893038867878e-08	0.999999947710696	0.720548486907048	0.720510314425342
"ENSG00000167460_TPM4"	0.000135844560289811	0.99986415543971	1.06188789765086	1.06189076480919
"ENSG00000166825_ANPEP"	0.000138989427320824	0.999861010572679	1.12586410099571	1.12587846385773
"ENSG00000175166_PSMD2"	0.000393149517960212	0.99960685048204	1.09995897438389	1.09997265973989
"ENSG00000149257_SERPINH1"	0.00104053899933865	0.998959461000661	1.13085503772024	1.13086702807504
"ENSG00000173230_GOLGB1"	0.00296692700593948	0.997033072994061	0.842248526397791	0.84218310075273
"ENSG00000085224_ATRX"	0.00368981302185056	0.996310186978149	0.829715208340221	0.829647136576875
"ENSG00000198959_TGM2"	0.00535143032989971	0.9946485696701	1.08128693706432	1.08128961115964
"ENSG00000142227_EMP3"	0.00866040382713584	0.991339596172864	1.26482753180659	1.2651237216956
"ENSG00000233913_RPL10P9"	0.00984219749814941	0.990157802501851	0.77586114595931	0.775619800478853
"ENSG00000112769_LAMA4"	0.0139371177630897	0.98606288223691	0.902777319819442	0.902771045780796
"ENSG00000142910_TINAGL1"	0.0139540853075455	0.986045914692455	1.17995838725367	1.17998742592208
"ENSG00000139112_GABARAPL1"	0.0162789824845879	0.983721017515412	0.814925831185824	0.814793600193571
"ENSG00000127914_AKAP9"	0.0169533412092159	0.983046658790784	0.740591961584516	0.740374348451185
"ENSG00000176014_TUBB6"	0.0178597042728568	0.982140295727143	1.11453652879242	1.11455376346739
"ENSG00000173110_HSPA6"	0.0231091069653412	0.976890893034659	0.21559895920927	0.1930358605298
"ENSG00000197969_VPS13A"	0.0284011550228805	0.971598844977119	0.789857212595407	0.789675220276051
"ENSG00000164889_SLC4A2"	0.0301430770911115	0.969856922908888	1.22061939185808	1.22076112649093
"ENSG00000129250_KIF1C"	0.0326837001034992	0.967316299896501	1.10054345858986	1.10056136736546
"ENSG00000241343_RPL36A"	0.0340602625265281	0.965939737473472	0.886878911181036	0.886859167062818
"ENSG00000184110_EIF3C"	0.0519271067156118	0.948072893284388	1.15635075742161	1.15638472188
"ENSG00000205542_TMSB4X"	0.0733874114211095	0.926612588578891	0.951763141923253	0.951762276416238
"ENSG00000196230_TUBB"	0.0736061069548393	0.926393893045161	1.1025444457853	1.10254965634266
"ENSG00000274049_INO80B-WBP1"	0.0766178072176362	0.923382192782364	0.593343718214793	0.591594503406597
"ENSG00000164683_HEY1"	0.0784795632678911	0.921520436732109	0.289937225517341	0.281467987582714
"ENSG00000091136_LAMB1"	0.0901063399173078	0.909893660082692	0.943599500634997	0.943596816681686
"ENSG00000170345_FOS"	0.109310183719214	0.890689816280786	0.0615967748637837	0.0486151537816045
"ENSG00000115694_STK25"	0.149215805677705	0.850784194322295	1.12639332396577	1.12642601217057
"ENSG00000101152_DNAJC5"	0.179720660484334	0.820279339515666	1.2325729375267	1.23269015507468
"ENSG00000241717_VWFP1"	0.180898413293466	0.819101586706534	0.581148811170923	0.5789967922205
"ENSG00000125740_FOSB"	0.188167360976164	0.811832639023836	0.288409195546444	0.270784337949673
"ENSG00000140406_TLNRD1"	0.207098454387278	0.792901545612722	1.27209739497808	1.27243222087775
"ENSG00000064300_NGFR"	0.215621354344417	0.784378645655583	0.0775573462641655	0.0380992292532367
"ENSG00000174501_ANKRD36C"	0.251423979789057	0.748576020210943	0.584931795028252	0.582260871466806
"ENSG00000126368_NR1D1"	0.26486463237482	0.73513536762518	0.541515715936962	0.539702377567679
"ENSG00000175592_FOSL1"	0.269452126154587	0.730547873845413	1.22942023919804	1.22966542432127
"ENSG00000274810_NPHP3-ACAD11"	0.286005288802038	0.713994711197962	0.0170128499186675	0.00162855815789624
"ENSG00000173621_LRFN4"	0.315316640493672	0.684683359506328	1.29888465273488	1.2995113858884
"ENSG00000214223_HNRNPA1P10"	0.340577945563203	0.659422054436797	5.12578068656113	6.23986014238716
"ENSG00000205336_ADGRG1"	0.342664330287065	0.657335669712935	1.14846500782205	1.14850883207407
"ENSG00000164949_GEM"	0.350081184575733	0.649918815424267	0.424324131278319	0.414790243090948
"ENSG00000082781_ITGB5"	0.384898872904609	0.615101127095391	1.08589776343389	1.08591231465973
"ENSG00000176170_SPHK1"	0.415510875378492	0.584489124621508	1.17639993840114	1.17653512002959
"ENSG00000253910_PCDHGB2"	0.464387529043985	0.535612470956015	0.565669402521395	0.562011798929555
"ENSG00000129003_VPS13C"	0.489950277847135	0.510049722152865	0.817480006013885	0.817354560450856
"ENSG00000038219_BOD1L1"	0.492279602408856	0.507720397591144	0.83126611348166	0.831119272924009
"ENSG00000156504_FAM122B"	0.523000861741746	0.476999138258254	0.748044183835148	0.747526116569152
"ENSG00000119596_YLPM1"	0.547012972852607	0.452987027147394	0.871886906716677	0.871818779906072
"ENSG00000173575_CHD2"	0.574311166424984	0.425688833575016	0.874791792686061	0.874737885152836
"ENSG00000214940_NPIPA8"	0.586927022223746	0.413072977776254	1.73945821849688	1.7494302134002
"ENSG00000073150_PANX2"	0.592190929813753	0.407809070186247	1.58371079878369	1.58778061028715
"ENSG00000134590_RTL8C"	0.601746169495866	0.398253830504134	1.15987552700271	1.15995917844713
"ENSG00000133265_HSPBP1"	0.608203097751959	0.391796902248041	1.31121397101455	1.31202711942242
"ENSG00000013297_CLDN11"	0.608980248916435	0.391019751083565	1.10817805329526	1.10819521653343
"ENSG00000105220_GPI"	0.611060547268324	0.388939452731676	1.20198509874826	1.20203213615514
"ENSG00000110880_CORO1C"	0.629078220463563	0.370921779536437	1.0865620541221	1.08657755573075
"ENSG00000071082_RPL31"	0.629182967443375	0.370817032556625	0.879738757039482	0.879727162581509
"ENSG00000283378_BX088645.1"	0.642307912670389	0.357692087329611	1.67316831049729	1.67882623960706
"ENSG00000109475_RPL34"	0.6690307443331	0.3309692556669	0.92884031645118	0.928829252742969
"ENSG00000164190_NIPBL"	0.681054778537774	0.318945221462226	0.860491919171247	0.860396458323598
"ENSG00000118680_MYL12B"	0.691125169019022	0.308874830980978	0.932021704721341	0.93201491176392
"ENSG00000269693_AC010422.6"	0.697340583365923	0.302659416634077	0.449724297099046	0.440232821726556
"ENSG00000237399_PITRM1-AS1"	0.697650541402356	0.302349458597644	0.508705769943455	0.50278319260423
"ENSG00000197858_GPAA1"	0.732670198234669	0.267329801765331	1.22483948137946	1.22506406814995
"ENSG00000173402_DAG1"	0.764708774654989	0.235291225345011	1.13651527862035	1.13655488353192
