	"Can_5_hg38.genes.results"	"Can_6_hg38.genes.results"	"CTR_1_hg38.genes.results"	"CTR_2_hg38.genes.results"
"ENSG00000120738_EGR1"	37.00	74.00	64.00	110.00
"ENSG00000120742_SERP1"	1548.00	1467.00	1469.00	1672.00
"ENSG00000120756_PLS1"	7.00	11.00	8.00	19.00
"ENSG00000120784_ZFP30"	104.00	95.00	124.00	134.00
"ENSG00000120798_NR2C1"	244.00	232.00	254.00	259.00
"ENSG00000120800_UTP20"	555.00	518.00	532.00	605.00
"ENSG00000120802_TMPO"	969.00	1166.00	1141.00	1138.00
"ENSG00000120805_ARL1"	709.00	700.00	747.00	729.00
"ENSG00000120820_GLT8D2"	17.00	20.00	21.00	16.00
"ENSG00000120832_MTERF2"	116.00	75.00	122.00	103.00
"ENSG00000120833_SOCS2"	22.00	13.00	11.00	25.00
"ENSG00000120837_NFYB"	234.00	228.00	277.00	249.00
"ENSG00000120860_WASHC3"	241.00	261.00	272.00	319.00
"ENSG00000120868_APAF1"	578.00	535.00	566.00	665.00
"ENSG00000120875_DUSP4"	303.00	328.00	295.00	377.00
"ENSG00000120885_CLU"	2052.00	2820.00	2076.00	2766.00
"ENSG00000120889_TNFRSF10B"	4683.00	3746.00	4149.00	4658.00
"ENSG00000120896_SORBS3"	1413.00	1293.00	1154.00	1441.00
"ENSG00000120899_PTK2B"	16.00	17.00	15.00	20.00
"ENSG00000120903_CHRNA2"	0.00	0.00	0.00	0.00
"ENSG00000120907_ADRA1A"	0.00	0.00	0.00	0.00
"ENSG00000120910_PPP3CC"	158.00	160.00	201.00	213.00
"ENSG00000120913_PDLIM2"	282.63	336.00	297.00	332.51
"ENSG00000120915_EPHX2"	0.00	3.00	6.00	2.00
"ENSG00000120925_RNF170"	305.00	252.00	272.00	327.00
"ENSG00000120937_NPPB"	0.00	0.00	0.00	0.00
"ENSG00000120942_UBIAD1"	207.00	184.00	195.00	223.00
"ENSG00000120948_TARDBP"	2110.00	1858.00	2059.00	2153.67
"ENSG00000120949_TNFRSF8"	5.00	6.00	3.00	4.00
"ENSG00000120952_PRAMEF2"	0.00	0.00	0.00	0.00
"ENSG00000120963_ZNF706"	657.00	614.00	772.00	727.00
"ENSG00000120992_LYPLA1"	1575.00	1558.00	1737.99	1726.00
"ENSG00000121005_CRISPLD1"	2.00	5.00	0.00	2.00
"ENSG00000121022_COPS5"	730.00	694.00	776.00	769.00
"ENSG00000121039_RDH10"	245.00	189.00	206.00	191.00
"ENSG00000121053_EPX"	0.00	1.00	0.00	0.00
"ENSG00000121057_AKAP1"	415.00	340.00	372.00	371.00
"ENSG00000121058_COIL"	264.00	272.00	321.00	304.00
"ENSG00000121060_TRIM25"	1838.00	1607.00	1608.00	1947.00
"ENSG00000121064_SCPEP1"	849.00	750.00	917.00	895.00
"ENSG00000121067_SPOP"	631.00	674.00	694.00	788.00
"ENSG00000121068_TBX2"	0.00	0.00	1.00	0.00
"ENSG00000121073_SLC35B1"	479.00	463.00	515.00	497.00
"ENSG00000121075_TBX4"	0.00	0.00	0.00	0.00
"ENSG00000121089_NACA3P"	1.00	1.00	2.00	3.00
"ENSG00000121101_TEX14"	2.00	0.00	3.00	3.00
"ENSG00000121104_FAM117A"	194.00	218.00	199.00	241.00
"ENSG00000121152_NCAPH"	121.00	138.00	155.00	154.00
"ENSG00000121207_LRAT"	0.00	0.00	0.00	0.00
"ENSG00000121210_TMEM131L"	326.00	261.00	335.00	356.00
"ENSG00000121211_MND1"	24.00	20.00	24.00	14.00
"ENSG00000121236_TRIM6"	35.00	25.00	45.00	51.00
"ENSG00000121270_ABCC11"	14.00	13.00	14.00	15.00
"ENSG00000121274_PAPD5"	207.00	168.00	228.00	246.00
"ENSG00000121281_ADCY7"	307.00	253.00	272.00	300.00
"ENSG00000121289_CEP89"	398.00	354.00	366.00	425.00
"ENSG00000121297_TSHZ3"	37.00	54.00	41.00	48.00
"ENSG00000121310_ECHDC2"	263.00	137.00	282.00	286.00
"ENSG00000121314_TAS2R8"	0.00	0.00	0.00	0.00
"ENSG00000121316_PLBD1"	6.00	3.00	4.00	8.00
"ENSG00000121318_TAS2R10"	0.00	1.00	2.00	2.00
"ENSG00000121335_PRB2"	0.00	0.00	1.00	1.00
"ENSG00000121350_PYROXD1"	495.00	426.00	536.00	488.89
"ENSG00000121351_IAPP"	0.00	0.00	0.00	0.00
"ENSG00000121361_KCNJ8"	0.00	0.00	0.00	0.00
"ENSG00000121377_TAS2R7"	0.00	0.00	1.00	0.00
"ENSG00000121380_BCL2L14"	0.00	0.00	0.00	0.00
"ENSG00000121381_TAS2R9"	1.00	0.00	0.00	0.00
"ENSG00000121388_AL139327.1"	0.00	0.00	0.00	0.00
"ENSG00000121390_PSPC1"	348.00	338.00	362.00	398.00
"ENSG00000121406_ZNF549"	56.00	61.00	77.00	74.00
"ENSG00000121410_A1BG"	11.44	16.01	14.53	18.25
"ENSG00000121413_ZSCAN18"	283.00	238.00	218.00	313.00
"ENSG00000121417_ZNF211"	111.00	79.00	107.00	112.00
"ENSG00000121440_PDZRN3"	0.00	0.00	0.00	1.00
"ENSG00000121446_RGSL1"	0.00	0.00	0.00	0.00
"ENSG00000121454_LHX4"	14.00	14.00	21.00	17.00
"ENSG00000121481_RNF2"	371.00	293.00	324.00	345.00
"ENSG00000121486_TRMT1L"	403.00	359.00	337.00	424.00
"ENSG00000121542_SEC22A"	220.00	170.00	226.00	233.00
"ENSG00000121552_CSTA"	0.00	0.00	0.00	0.00
"ENSG00000121570_DPPA4"	0.00	0.00	0.00	1.00
"ENSG00000121577_POPDC2"	2.00	2.00	5.00	0.00
"ENSG00000121578_B4GALT4"	149.00	100.00	137.00	128.00
"ENSG00000121579_NAA50"	1337.00	1344.00	1452.00	1510.00
"ENSG00000121594_CD80"	0.00	0.00	0.00	0.00
"ENSG00000121621_KIF18A"	86.00	103.00	99.00	97.00
"ENSG00000121634_GJA8"	0.00	0.00	0.00	0.00
"ENSG00000121644_DESI2"	646.00	706.00	677.00	738.00
"ENSG00000121653_MAPK8IP1"	30.00	23.00	22.00	25.00
"ENSG00000121671_CRY2"	152.00	145.00	150.00	153.00
"ENSG00000121680_PEX16"	157.00	153.00	151.00	191.00
"ENSG00000121690_DEPDC7"	5.00	1.00	2.00	1.00
"ENSG00000121691_CAT"	430.00	452.00	421.00	533.00
"ENSG00000121716_PILRB"	218.88	132.16	203.80	199.40
"ENSG00000121741_ZMYM2"	1005.00	900.00	1078.00	1184.00
"ENSG00000121742_GJB6"	0.00	0.00	0.00	0.00
"ENSG00000121743_GJA3"	1.00	0.00	0.00	0.00
"ENSG00000121749_TBC1D15"	394.00	377.00	484.00	469.00
"ENSG00000121753_ADGRB2"	10.00	14.00	9.00	5.00
"ENSG00000121764_HCRTR1"	5.00	10.00	3.00	8.00
"ENSG00000121766_ZCCHC17"	506.00	476.00	495.00	510.00
"ENSG00000121769_FABP3"	2.00	5.00	0.00	1.00
"ENSG00000121774_KHDRBS1"	2543.00	2674.00	2545.00	2726.00
"ENSG00000121775_TMEM39B"	229.00	256.00	197.00	265.00
"ENSG00000121797_CCRL2"	146.00	96.00	119.00	124.00
"ENSG00000121807_CCR2"	0.00	0.00	0.00	0.00
"ENSG00000121851_POLR3GL"	173.00	181.00	211.00	218.00
"ENSG00000121853_GHSR"	0.00	0.00	0.00	0.00
"ENSG00000121858_TNFSF10"	487.00	522.00	582.00	716.00
"ENSG00000121864_ZNF639"	285.00	253.00	246.00	250.00
"ENSG00000121871_SLITRK3"	0.00	0.00	0.00	0.00
"ENSG00000121879_PIK3CA"	537.00	508.00	554.00	660.00
"ENSG00000121892_PDS5A"	1751.00	1720.00	1724.00	1881.00
"ENSG00000121895_TMEM156"	33.00	24.00	22.00	25.00
"ENSG00000121897_LIAS"	115.00	116.00	116.00	137.00
"ENSG00000121898_CPXM2"	32.00	18.00	33.00	24.00
"ENSG00000121900_TMEM54"	206.00	186.00	176.00	238.00
"ENSG00000121903_ZSCAN20"	87.00	56.00	88.00	70.00
"ENSG00000121904_CSMD2"	1.00	4.00	4.00	5.00
"ENSG00000121905_HPCA"	8.00	12.00	6.00	13.00
"ENSG00000121931_LRIF1"	258.00	255.00	278.00	298.00
"ENSG00000121933_TMIGD3"	3.00	6.00	3.00	3.00
"ENSG00000121940_CLCC1"	353.00	308.00	317.00	409.00
"ENSG00000121957_GPSM2"	284.00	280.00	300.00	257.00
"ENSG00000121964_GTDC1"	217.00	230.00	179.00	272.00
"ENSG00000121966_CXCR4"	349.00	421.00	385.00	545.00
"ENSG00000121988_ZRANB3"	67.00	53.00	58.00	52.00
"ENSG00000121989_ACVR2A"	85.00	111.00	79.00	105.00
"ENSG00000122008_POLK"	409.00	320.00	435.00	439.00
"ENSG00000122012_SV2C"	0.00	0.00	0.00	0.00
"ENSG00000122025_FLT3"	0.00	0.00	0.00	0.00
"ENSG00000122026_RPL21"	6302.46	6580.70	7031.35	7901.61
"ENSG00000122033_MTIF3"	340.00	329.00	396.00	426.00
"ENSG00000122034_GTF3A"	988.00	883.00	968.00	1015.00
"ENSG00000122035_RASL11A"	9.00	7.00	7.00	10.00
"ENSG00000122042_UBL3"	356.00	352.00	379.00	384.00
"ENSG00000122043_LINC00544"	0.00	0.00	0.00	0.00
"ENSG00000122068_FYTTD1"	1184.00	1041.00	1170.00	1174.00
"ENSG00000122085_MTERF4"	292.00	240.00	310.00	315.00
"ENSG00000122121_XPNPEP2"	1.00	0.00	1.00	2.00
"ENSG00000122122_SASH3"	0.00	0.00	0.00	0.00
"ENSG00000122126_OCRL"	567.00	494.00	584.00	676.00
"ENSG00000122133_PAEP"	1.00	2.00	1.00	1.00
"ENSG00000122136_OBP2A"	0.00	0.00	0.00	0.00
"ENSG00000122140_MRPS2"	682.00	634.00	556.00	674.00
"ENSG00000122145_TBX22"	0.00	0.00	0.00	0.00
"ENSG00000122176_FMOD"	7.00	8.00	2.00	8.00
"ENSG00000122180_MYOG"	0.00	0.00	0.00	0.00
"ENSG00000122188_LAX1"	0.00	2.00	1.00	1.00
"ENSG00000122194_PLG"	0.00	0.00	0.00	0.00
"ENSG00000122203_KIAA1191"	889.00	917.00	910.00	969.00
"ENSG00000122218_COPA"	3161.00	2877.00	2881.00	3505.00
"ENSG00000122223_CD244"	0.00	0.00	0.00	0.00
"ENSG00000122224_LY9"	0.00	0.00	0.00	1.00
"ENSG00000122254_HS3ST2"	0.00	1.00	1.00	1.00
"ENSG00000122257_RBBP6"	843.00	793.00	892.00	930.00
"ENSG00000122299_ZC3H7A"	710.00	661.00	769.00	778.00
"ENSG00000122304_PRM2"	0.00	0.00	0.00	0.00
"ENSG00000122335_SERAC1"	70.00	84.00	104.00	94.00
"ENSG00000122359_ANXA11"	1582.00	1599.00	1361.00	1775.00
"ENSG00000122367_LDB3"	0.00	0.00	0.00	0.00
"ENSG00000122375_OPN4"	0.00	0.00	0.00	0.00
"ENSG00000122376_FAM35A"	531.95	484.76	490.40	589.70
"ENSG00000122378_FAM213A"	2595.00	3242.00	3068.00	3599.00
"ENSG00000122386_ZNF205"	159.00	164.00	152.00	200.00
"ENSG00000122390_NAA60"	600.00	537.00	538.96	618.00
"ENSG00000122406_RPL5"	8752.94	9575.99	10044.95	11107.96
"ENSG00000122417_ODF2L"	616.00	470.00	662.00	620.00
"ENSG00000122420_PTGFR"	6.00	4.00	11.00	9.00
"ENSG00000122432_SPATA1"	52.00	51.00	66.00	61.00
"ENSG00000122435_TRMT13"	204.00	137.00	203.00	187.00
"ENSG00000122477_LRRC39"	10.00	9.00	23.00	21.00
"ENSG00000122481_RWDD3"	91.72	92.64	101.40	99.74
"ENSG00000122482_ZNF644"	481.00	440.00	456.00	508.00
"ENSG00000122483_CCDC18"	210.00	202.00	222.00	216.00
"ENSG00000122484_RPAP2"	245.00	238.00	228.00	257.00
"ENSG00000122490_PQLC1"	427.00	383.00	328.00	440.00
"ENSG00000122507_BBS9"	167.00	169.00	187.00	184.00
"ENSG00000122512_PMS2"	186.73	212.90	186.81	218.39
"ENSG00000122515_ZMIZ2"	990.00	832.00	825.00	1004.00
"ENSG00000122543_OCM"	0.00	0.00	0.00	0.00
"ENSG00000122545_SEPT7"	2015.00	2085.00	2284.00	2295.00
"ENSG00000122547_EEPD1"	2.00	2.00	3.00	6.00
"ENSG00000122548_KIAA0087"	0.00	0.00	0.00	0.00
"ENSG00000122550_KLHL7"	414.00	432.00	477.00	459.00
"ENSG00000122557_HERPUD2"	284.00	262.00	290.00	315.00
"ENSG00000122565_CBX3"	1803.99	1954.00	2196.00	2132.00
"ENSG00000122566_HNRNPA2B1"	9542.00	8389.00	9793.00	9946.00
"ENSG00000122574_WIPF3"	0.00	0.00	0.00	0.00
"ENSG00000122584_NXPH1"	0.00	0.00	0.00	1.00
"ENSG00000122585_NPY"	0.00	0.00	0.00	0.00
"ENSG00000122591_FAM126A"	1202.00	984.00	1152.00	1344.00
"ENSG00000122592_HOXA7"	9.00	4.00	6.00	6.00
"ENSG00000122641_INHBA"	16.00	17.00	17.00	19.00
"ENSG00000122642_FKBP9"	2710.01	2281.78	2409.67	2956.27
"ENSG00000122643_NT5C3A"	156.69	151.53	190.97	179.00
"ENSG00000122644_ARL4A"	142.96	190.00	198.99	194.00
"ENSG00000122674_CCZ1"	1016.75	897.07	999.99	1089.62
"ENSG00000122678_POLM"	179.00	156.00	151.00	180.00
"ENSG00000122679_RAMP3"	0.00	0.00	0.00	0.00
"ENSG00000122687_MRM2"	186.00	209.00	194.00	200.00
"ENSG00000122691_TWIST1"	16.00	22.00	26.00	19.00
"ENSG00000122692_SMU1"	681.00	704.00	646.00	794.00
"ENSG00000122694_GLIPR2"	308.00	325.00	287.00	322.00
"ENSG00000122696_SLC25A51"	168.00	124.00	102.00	153.00
"ENSG00000122705_CLTA"	2454.00	2492.00	2376.00	2931.00
"ENSG00000122707_RECK"	832.00	731.00	853.00	867.00
"ENSG00000122711_SPINK4"	0.00	0.00	0.00	0.00
"ENSG00000122728_TAF1L"	0.00	0.00	0.00	0.00
"ENSG00000122729_ACO1"	2538.00	1672.00	1920.00	2358.00
"ENSG00000122733_PHF24"	0.00	0.00	0.00	1.00
"ENSG00000122735_DNAI1"	1.00	0.00	0.00	1.00
"ENSG00000122741_DCAF10"	444.00	453.00	457.00	525.00
"ENSG00000122756_CNTFR"	0.00	0.00	0.00	0.00
"ENSG00000122778_KIAA1549"	272.00	268.00	249.00	323.00
"ENSG00000122779_TRIM24"	1564.00	1218.00	1347.00	1511.00
"ENSG00000122783_C7orf49"	286.00	290.00	260.00	343.00
"ENSG00000122786_CALD1"	3358.00	3098.00	3283.00	3551.00
"ENSG00000122787_AKR1D1"	0.00	0.00	0.00	0.00
"ENSG00000122824_NUDT10"	2.08	3.11	4.26	6.45
"ENSG00000122852_SFTPA1"	0.00	0.00	0.00	0.00
"ENSG00000122859_NEUROG3"	0.00	0.00	0.00	0.00
"ENSG00000122861_PLAU"	553.00	400.00	453.00	475.00
"ENSG00000122862_SRGN"	7940.00	5893.00	6966.00	7364.00
"ENSG00000122863_CHST3"	202.00	260.00	206.00	278.00
"ENSG00000122870_BICC1"	8.00	10.00	2.00	6.00
"ENSG00000122872_ARL4AP1"	0.00	0.00	0.00	0.00
"ENSG00000122873_CISD1"	427.00	363.00	436.00	429.00
"ENSG00000122877_EGR2"	1.00	1.00	1.00	1.00
"ENSG00000122882_ECD"	503.00	453.00	495.00	491.00
"ENSG00000122884_P4HA1"	559.00	488.00	508.00	545.00
"ENSG00000122912_SLC25A16"	163.00	129.00	184.00	184.00
"ENSG00000122952_ZWINT"	311.00	305.00	338.00	330.00
"ENSG00000122958_VPS26A"	1472.00	1252.00	1360.00	1538.00
"ENSG00000122965_RBM19"	497.00	417.00	405.00	566.00
"ENSG00000122966_CIT"	238.00	257.00	209.00	265.00
"ENSG00000122970_IFT81"	154.00	156.00	178.00	164.00
"ENSG00000122971_ACADS"	217.00	193.00	201.00	234.00
"ENSG00000122986_HVCN1"	29.00	42.00	25.00	35.00
"ENSG00000123009_NME2P1"	1.00	2.00	0.00	1.00
"ENSG00000123064_DDX54"	873.00	810.00	689.00	873.00
"ENSG00000123066_MED13L"	858.00	955.00	874.00	1130.00
"ENSG00000123080_CDKN2C"	91.00	127.00	115.00	131.00
"ENSG00000123091_RNF11"	568.00	871.00	753.00	858.00
"ENSG00000123094_RASSF8"	1129.00	946.00	1100.00	1190.00
"ENSG00000123095_BHLHE41"	65.00	45.00	68.00	81.00
"ENSG00000123096_SSPN"	42.00	44.00	53.00	46.00
"ENSG00000123104_ITPR2"	923.00	899.00	1038.00	1090.00
"ENSG00000123106_CCDC91"	186.00	163.00	212.00	221.00
"ENSG00000123119_NECAB1"	6.00	16.00	17.00	15.00
"ENSG00000123124_WWP1"	710.00	685.00	764.00	812.00
"ENSG00000123130_ACOT9"	964.00	802.00	917.00	1030.00
"ENSG00000123131_PRDX4"	1153.00	1086.00	1236.00	1306.00
"ENSG00000123136_DDX39A"	871.00	699.00	749.00	898.00
"ENSG00000123143_PKN1"	2981.00	2604.00	2191.00	3181.00
"ENSG00000123144_TRIR"	1097.00	1108.00	1029.00	1326.00
"ENSG00000123146_ADGRE5"	164.00	151.00	159.00	165.00
"ENSG00000123154_WDR83"	96.00	89.00	80.00	103.00
"ENSG00000123159_GIPC1"	1024.00	947.00	804.00	1054.00
"ENSG00000123165_ACTRT1"	0.00	0.00	0.00	0.00
"ENSG00000123171_CCDC70"	1.00	0.00	0.00	0.00
"ENSG00000123178_SPRYD7"	156.00	128.00	155.00	155.00
"ENSG00000123179_EBPL"	245.38	294.00	300.00	315.00
"ENSG00000123191_ATP7B"	155.00	136.00	157.00	187.00
"ENSG00000123200_ZC3H13"	956.00	976.00	979.00	1155.00
"ENSG00000123201_GUCY1B2"	0.00	0.00	0.00	0.00
"ENSG00000123213_NLN"	1123.00	1052.00	1143.00	1167.00
"ENSG00000123219_CENPK"	106.00	98.00	134.00	106.00
"ENSG00000123240_OPTN"	3186.00	2356.00	2610.00	3213.00
"ENSG00000123243_ITIH5"	0.00	0.00	0.00	0.00
"ENSG00000123268_ATF1"	73.00	105.00	110.00	104.00
"ENSG00000123297_TSFM"	283.17	269.01	310.00	297.03
"ENSG00000123307_NEUROD4"	0.00	0.00	0.00	0.00
"ENSG00000123329_ARHGAP9"	0.00	1.00	0.00	0.00
"ENSG00000123338_NCKAP1L"	0.00	0.00	0.00	0.00
"ENSG00000123342_MMP19"	64.00	45.00	73.00	68.00
"ENSG00000123349_PFDN5"	1509.00	1402.00	1808.00	2012.00
"ENSG00000123352_SPATS2"	851.00	797.00	833.00	965.00
"ENSG00000123353_ORMDL2"	332.00	352.00	341.00	367.00
"ENSG00000123358_NR4A1"	33.00	16.00	19.00	36.00
"ENSG00000123360_PDE1B"	0.00	0.00	0.00	1.00
"ENSG00000123364_HOXC13"	0.00	0.00	0.00	0.00
"ENSG00000123374_CDK2"	440.00	446.00	470.00	502.00
"ENSG00000123384_LRP1"	52.00	77.00	64.00	94.00
"ENSG00000123388_HOXC11"	0.00	0.00	0.00	0.00
"ENSG00000123395_ATG101"	412.00	353.00	345.00	443.00
"ENSG00000123405_NFE2"	0.00	0.00	0.00	0.00
"ENSG00000123407_HOXC12"	0.00	0.00	0.00	0.00
"ENSG00000123411_IKZF4"	67.00	61.00	64.00	53.00
"ENSG00000123415_SMUG1"	175.00	115.00	128.00	168.00
"ENSG00000123416_TUBA1B"	14520.15	14682.47	13821.69	15145.57
"ENSG00000123427_EEF1AKMT3"	106.00	79.00	76.00	95.00
"ENSG00000123444_KBTBD4"	275.00	236.00	286.00	301.00
"ENSG00000123447_TYRL"	0.00	0.00	0.00	0.00
"ENSG00000123453_SARDH"	2.00	4.00	2.00	0.00
"ENSG00000123454_DBH"	0.00	0.00	0.00	0.00
"ENSG00000123472_ATPAF1"	302.00	309.00	305.00	345.00
"ENSG00000123473_STIL"	224.00	207.00	241.00	254.00
"ENSG00000123485_HJURP"	249.00	269.00	244.00	249.00
"ENSG00000123496_IL13RA2"	6.00	4.00	0.00	6.00
"ENSG00000123500_COL10A1"	0.00	1.00	0.00	0.00
"ENSG00000123505_AMD1"	986.00	901.00	991.00	989.00
"ENSG00000123545_NDUFAF4"	175.00	154.00	181.00	192.00
"ENSG00000123552_USP45"	149.00	134.00	167.00	132.00
"ENSG00000123560_PLP1"	0.00	0.00	0.00	1.00
"ENSG00000123561_SERPINA7"	0.00	0.00	0.00	0.00
"ENSG00000123562_MORF4L2"	2694.00	2429.00	2618.00	2853.00
"ENSG00000123569_H2BFWT"	0.00	0.00	0.00	0.00
"ENSG00000123570_RAB9B"	0.00	5.00	3.00	6.00
"ENSG00000123572_NRK"	1.00	3.00	4.00	6.00
"ENSG00000123575_FAM199X"	416.00	432.00	458.00	487.00
"ENSG00000123576_ESX1"	0.00	0.00	0.00	0.00
"ENSG00000123584_MAGEA9"	0.00	0.00	0.00	0.00
"ENSG00000123594_ATXN3L"	0.00	0.00	0.00	0.00
"ENSG00000123595_RAB9A"	206.00	178.00	196.00	208.00
"ENSG00000123600_METTL8"	261.00	252.00	272.00	296.00
"ENSG00000123607_TTC21B"	270.00	244.00	273.00	293.00
"ENSG00000123609_NMI"	494.00	415.00	493.00	516.00
"ENSG00000123610_TNFAIP6"	9.00	0.00	6.00	10.00
"ENSG00000123612_ACVR1C"	0.00	0.00	0.00	0.00
"ENSG00000123636_BAZ2B"	525.00	527.00	609.00	707.00
"ENSG00000123643_SLC36A1"	189.00	165.00	187.00	216.00
"ENSG00000123684_LPGAT1"	968.00	846.00	830.00	1031.00
"ENSG00000123685_BATF3"	7.00	6.00	5.00	7.00
"ENSG00000123689_G0S2"	1.00	1.00	1.00	11.00
"ENSG00000123700_KCNJ2"	191.00	118.00	127.00	207.00
"ENSG00000123728_RAP2C"	557.00	477.00	591.00	590.00
"ENSG00000123737_EXOSC9"	408.00	353.00	491.00	457.00
"ENSG00000123739_PLA2G12A"	261.89	249.96	309.00	325.87
"ENSG00000123810_B9D2"	47.00	27.00	26.00	33.00
"ENSG00000123815_COQ8B"	154.00	187.00	178.00	180.00
"ENSG00000123836_PFKFB2"	25.00	18.00	31.00	36.00
"ENSG00000123838_C4BPA"	0.00	0.00	0.00	0.00
"ENSG00000123843_C4BPB"	0.00	0.00	0.00	0.00
"ENSG00000123870_ZNF137P"	24.53	14.00	25.00	13.00
"ENSG00000123892_RAB38"	38.00	47.00	39.00	52.00
"ENSG00000123901_GPR83"	1.00	0.00	0.00	1.00
"ENSG00000123908_AGO2"	509.00	557.00	454.00	695.00
"ENSG00000123933_MXD4"	2215.00	1962.00	1815.00	2340.00
"ENSG00000123965_PMS2P5"	3.93	4.95	3.00	7.48
"ENSG00000123975_CKS2"	607.00	567.00	737.00	686.00
"ENSG00000123977_DAW1"	30.00	39.00	22.00	29.00
"ENSG00000123983_ACSL3"	1478.00	1195.00	1406.00	1559.00
"ENSG00000123989_CHPF"	3.00	6.00	2.00	4.00
"ENSG00000123992_DNPEP"	523.00	395.00	460.00	499.00
"ENSG00000123999_INHA"	1.00	0.00	1.00	1.00
"ENSG00000124003_MOGAT1"	0.00	0.00	0.00	0.00
"ENSG00000124006_OBSL1"	63.00	94.00	71.00	78.00
"ENSG00000124019_FAM124B"	760.00	837.00	801.00	913.00
"ENSG00000124067_SLC12A4"	909.99	733.67	795.00	922.62
"ENSG00000124074_ENKD1"	128.00	116.00	106.00	129.00
"ENSG00000124089_MC3R"	0.00	0.00	0.00	0.00
"ENSG00000124091_GCNT7"	0.00	0.00	0.00	1.00
"ENSG00000124092_CTCFL"	0.00	0.00	0.00	0.00
"ENSG00000124097_HMGB1P1"	2.00	1.00	2.00	2.00
"ENSG00000124098_FAM210B"	1168.00	1265.00	1293.00	1468.00
"ENSG00000124102_PI3"	3.00	0.00	0.00	1.00
"ENSG00000124103_FAM209A"	0.00	0.00	1.00	0.00
"ENSG00000124104_SNX21"	169.00	159.00	156.00	183.00
"ENSG00000124107_SLPI"	0.00	0.00	0.00	0.00
"ENSG00000124116_WFDC3"	0.00	0.00	0.00	1.00
"ENSG00000124120_TTPAL"	183.00	180.00	168.00	200.00
"ENSG00000124126_PREX1"	2102.00	2172.00	2021.00	2432.00
"ENSG00000124134_KCNS1"	13.00	8.00	6.00	10.00
"ENSG00000124140_SLC12A5"	4.00	1.00	0.00	3.00
"ENSG00000124143_ARHGAP40"	4.00	3.00	4.00	8.00
"ENSG00000124145_SDC4"	1282.00	604.00	812.00	970.00
"ENSG00000124151_NCOA3"	504.00	521.00	517.00	605.00
"ENSG00000124155_PIGT"	1639.00	1588.00	1470.00	1867.00
"ENSG00000124157_SEMG2"	0.00	0.00	0.00	0.00
"ENSG00000124159_MATN4"	0.00	0.00	0.00	0.00
"ENSG00000124160_NCOA5"	454.00	412.00	371.00	489.00
"ENSG00000124164_VAPB"	729.00	726.00	780.00	827.00
"ENSG00000124171_PARD6B"	0.00	2.00	1.00	0.00
"ENSG00000124172_ATP5E"	1827.00	2034.00	2062.00	2232.00
"ENSG00000124177_CHD6"	405.00	423.00	437.00	573.00
"ENSG00000124181_PLCG1"	2090.00	1735.00	1889.00	2212.00
"ENSG00000124191_TOX2"	251.00	227.00	192.00	292.00
"ENSG00000124193_SRSF6"	1643.00	1270.00	1695.00	1542.95
"ENSG00000124194_GDAP1L1"	0.00	0.00	1.00	0.00
"ENSG00000124196_GTSF1L"	1.00	0.00	1.00	0.00
"ENSG00000124198_ARFGEF2"	1388.00	1293.00	1380.00	1480.00
"ENSG00000124201_ZNFX1"	1219.00	1002.00	1051.00	1309.00
"ENSG00000124203_ZNF831"	0.00	0.00	0.00	0.00
"ENSG00000124205_EDN3"	0.00	0.00	0.00	0.00
"ENSG00000124207_CSE1L"	1944.00	1974.00	1937.00	2041.00
"ENSG00000124208_TMEM189-UBE2V1"	156.61	189.53	117.41	159.84
"ENSG00000124209_RAB22A"	641.00	566.00	605.00	699.00
"ENSG00000124212_PTGIS"	359.00	278.00	278.00	388.00
"ENSG00000124214_STAU1"	1515.00	1518.00	1481.00	1691.00
"ENSG00000124215_CDH26"	0.00	0.00	1.00	2.00
"ENSG00000124216_SNAI1"	142.00	138.00	137.00	168.00
"ENSG00000124217_MOCS3"	121.00	132.00	89.00	111.00
"ENSG00000124222_STX16"	1322.55	1005.00	1224.66	1321.00
"ENSG00000124224_PPP4R1L"	163.00	108.00	183.00	158.00
"ENSG00000124225_PMEPA1"	191.00	193.00	183.00	197.00
"ENSG00000124226_RNF114"	485.00	448.00	505.00	554.00
"ENSG00000124227_ANKRD60"	0.00	0.00	0.00	0.00
"ENSG00000124228_DDX27"	497.00	361.00	407.00	481.00
"ENSG00000124232_RBPJL"	0.00	0.00	0.00	0.00
"ENSG00000124233_SEMG1"	0.00	0.00	0.00	0.00
"ENSG00000124237_C20orf85"	0.00	0.00	0.00	0.00
"ENSG00000124243_BCAS4"	22.00	14.00	20.00	24.00
"ENSG00000124249_KCNK15"	0.00	0.00	0.00	0.00
"ENSG00000124251_TP53TG5"	8.00	2.00	5.00	4.00
"ENSG00000124253_PCK1"	0.00	0.00	1.00	0.00
"ENSG00000124256_ZBP1"	0.00	0.00	0.00	0.00
"ENSG00000124257_NEURL2"	17.00	16.00	9.00	25.00
"ENSG00000124260_MAGEA10"	0.00	0.00	0.00	0.00
"ENSG00000124275_MTRR"	302.00	243.00	286.00	295.00
"ENSG00000124279_FASTKD3"	82.00	96.00	108.00	108.00
"ENSG00000124299_PEPD"	1084.00	973.00	906.00	1104.00
"ENSG00000124302_CHST8"	0.00	2.00	1.00	0.00
"ENSG00000124313_IQSEC2"	127.00	87.00	100.00	118.00
"ENSG00000124333_VAMP7"	763.00	684.00	766.00	814.00
