	"Can_5_hg38.genes.results"	"Can_6_hg38.genes.results"	"CTR_1_hg38.genes.results"	"CTR_2_hg38.genes.results"
"ENSG00000005379_TSPOAP1"	0.00	0.00	0.00	0.00
"ENSG00000005381_MPO"	1.00	0.00	0.00	0.00
"ENSG00000005421_PON1"	0.00	0.00	0.00	0.00
"ENSG00000005436_GCFC2"	243.00	240.00	256.00	297.00
"ENSG00000005448_WDR54"	103.00	120.00	106.00	128.00
"ENSG00000005469_CROT"	180.00	178.00	219.00	263.00
"ENSG00000005471_ABCB4"	1.00	1.00	1.00	0.00
"ENSG00000005483_KMT2E"	834.00	853.00	797.00	1013.00
"ENSG00000005486_RHBDD2"	337.00	330.00	280.00	403.00
"ENSG00000005513_SOX8"	8.00	7.00	12.00	7.00
"ENSG00000005700_IBTK"	604.00	569.00	698.00	682.00
"ENSG00000005801_ZNF195"	239.00	249.00	247.00	268.00
"ENSG00000005810_MYCBP2"	867.00	1093.00	1162.00	1411.00
"ENSG00000005812_FBXL3"	691.00	719.00	773.00	823.00
"ENSG00000005844_ITGAL"	0.00	0.00	0.00	1.00
"ENSG00000005882_PDK2"	233.00	243.00	260.00	291.00
"ENSG00000005884_ITGA3"	3733.00	3362.00	3345.00	3646.00
"ENSG00000005889_ZFX"	295.00	255.00	231.00	307.00
"ENSG00000005893_LAMP2"	3651.00	2914.00	3352.00	3818.00
"ENSG00000005961_ITGA2B"	4.00	5.00	4.00	3.00
"ENSG00000005981_ASB4"	0.00	0.00	0.00	0.00
"ENSG00000006007_GDE1"	1025.00	936.00	1004.00	1099.00
"ENSG00000006015_C19orf60"	261.00	248.00	216.00	301.00
"ENSG00000006016_CRLF1"	33.00	39.00	36.00	33.00
"ENSG00000006025_OSBPL7"	242.00	176.00	233.00	242.00
"ENSG00000006042_TMEM98"	968.00	912.00	953.00	1067.00
"ENSG00000006047_YBX2"	1.00	1.00	0.00	0.00
"ENSG00000006059_KRT33A"	0.00	0.00	0.00	0.00
"ENSG00000006062_MAP3K14"	71.00	113.00	108.00	102.00
"ENSG00000006071_ABCC8"	0.00	0.00	0.00	0.00
"ENSG00000006116_CACNG3"	0.00	0.00	0.00	0.00
"ENSG00000006118_TMEM132A"	1811.00	1335.00	1371.00	1785.00
"ENSG00000006125_AP2B1"	4156.00	3801.00	3804.00	4678.00
"ENSG00000006128_TAC1"	0.00	0.00	0.00	0.00
"ENSG00000006194_ZNF263"	256.00	228.00	292.00	308.00
"ENSG00000006210_CX3CL1"	155.00	45.00	66.00	206.00
"ENSG00000006282_SPATA20"	1117.12	861.00	853.00	1066.00
"ENSG00000006283_CACNA1G"	1.00	0.00	0.00	0.00
"ENSG00000006327_TNFRSF12A"	839.00	752.00	701.00	792.00
"ENSG00000006377_DLX6"	0.00	0.00	0.00	0.00
"ENSG00000006432_MAP3K9"	0.00	2.00	1.00	0.00
"ENSG00000006451_RALA"	5896.00	5534.00	5889.00	6672.00
"ENSG00000006453_BAIAP2L1"	11.00	11.00	13.00	23.00
"ENSG00000006459_KDM7A"	124.00	147.00	148.00	170.00
"ENSG00000006468_ETV1"	82.00	108.00	116.00	101.00
"ENSG00000006530_AGK"	375.00	364.00	411.00	419.00
"ENSG00000006534_ALDH3B1"	20.00	21.00	16.00	29.00
"ENSG00000006555_TTC22"	0.00	0.00	0.00	0.00
"ENSG00000006576_PHTF2"	119.00	133.00	163.00	155.00
"ENSG00000006606_CCL26"	0.00	0.00	0.00	0.00
"ENSG00000006607_FARP2"	349.00	336.00	318.00	381.00
"ENSG00000006611_USH1C"	0.00	0.00	0.00	0.00
"ENSG00000006625_GGCT"	377.00	318.00	411.00	420.79
"ENSG00000006634_DBF4"	161.97	177.88	183.94	153.00
"ENSG00000006638_TBXA2R"	24.00	20.00	15.00	21.00
"ENSG00000006652_IFRD1"	337.00	263.00	374.00	379.00
"ENSG00000006659_LGALS14"	0.00	0.00	1.00	0.00
"ENSG00000006695_COX10"	162.00	132.00	117.00	160.00
"ENSG00000006704_GTF2IRD1"	160.00	148.00	125.00	161.00
"ENSG00000006712_PAF1"	614.00	606.00	581.00	703.00
"ENSG00000006715_VPS41"	1103.00	964.00	1042.00	1206.00
"ENSG00000006740_ARHGAP44"	6.00	7.00	7.00	4.00
"ENSG00000006744_ELAC2"	839.00	851.00	805.00	927.00
"ENSG00000006747_SCIN"	34.00	30.00	18.00	35.00
"ENSG00000006756_ARSD"	369.00	320.00	329.00	397.00
"ENSG00000006757_PNPLA4"	89.00	74.00	73.00	90.00
"ENSG00000006788_MYH13"	0.00	0.00	0.00	0.00
"ENSG00000006831_ADIPOR2"	1022.00	850.00	883.00	1000.00
"ENSG00000006837_CDKL3"	9.00	6.77	4.98	10.91
"ENSG00000007001_UPP2"	0.00	0.00	0.00	0.00
"ENSG00000007038_PRSS21"	0.00	1.00	0.00	0.00
"ENSG00000007047_MARK4"	487.00	528.00	469.00	647.00
"ENSG00000007062_PROM1"	0.00	0.00	0.00	0.00
"ENSG00000007080_CCDC124"	638.00	651.00	568.00	725.00
"ENSG00000007129_CEACAM21"	20.00	24.00	21.00	14.00
"ENSG00000007168_PAFAH1B1"	1864.76	1698.00	1841.00	2012.00
"ENSG00000007171_NOS2"	0.00	0.00	0.00	0.00
"ENSG00000007174_DNAH9"	1.00	3.00	0.00	3.00
"ENSG00000007202_KIAA0100"	3291.00	3103.00	2913.00	3561.00
"ENSG00000007216_SLC13A2"	0.00	0.00	0.00	0.00
"ENSG00000007237_GAS7"	2.00	0.00	2.00	2.00
"ENSG00000007255_TRAPPC6A"	54.00	90.00	69.00	84.00
"ENSG00000007264_MATK"	0.00	0.00	0.00	0.00
"ENSG00000007306_CEACAM7"	0.00	0.00	0.00	0.00
"ENSG00000007312_CD79B"	13.00	11.00	11.00	17.00
"ENSG00000007314_SCN4A"	0.00	0.00	1.00	0.00
"ENSG00000007341_ST7L"	135.00	112.00	109.00	130.00
"ENSG00000007350_TKTL1"	0.00	1.00	0.00	0.00
"ENSG00000007372_PAX6"	4.00	6.00	9.00	2.00
"ENSG00000007376_RPUSD1"	286.00	309.00	257.00	351.00
"ENSG00000007384_RHBDF1"	775.00	548.00	625.00	760.00
"ENSG00000007392_LUC7L"	435.00	336.00	540.00	425.00
"ENSG00000007402_CACNA2D2"	2.00	0.00	0.00	0.00
"ENSG00000007516_BAIAP3"	21.00	13.00	18.00	21.00
"ENSG00000007520_TSR3"	532.00	524.00	432.00	546.00
"ENSG00000007541_PIGQ"	425.86	406.93	332.45	469.46
"ENSG00000007545_CRAMP1"	453.65	430.06	451.18	524.28
"ENSG00000007866_TEAD3"	1.00	3.00	0.00	2.00
"ENSG00000007908_SELE"	1040.00	273.00	506.00	757.00
"ENSG00000007923_DNAJC11"	746.00	617.00	607.00	736.00
"ENSG00000007933_FMO3"	1.00	0.00	0.00	0.00
"ENSG00000007944_MYLIP"	381.00	314.00	390.00	395.00
"ENSG00000007952_NOX1"	1.00	0.00	0.00	1.00
"ENSG00000007968_E2F2"	30.00	29.00	20.00	38.00
"ENSG00000008018_PSMB1"	1586.00	1386.00	1530.00	1642.00
"ENSG00000008056_SYN1"	0.00	1.00	0.00	1.00
"ENSG00000008083_JARID2"	242.00	202.00	197.00	264.00
"ENSG00000008086_CDKL5"	70.00	77.00	58.00	81.00
"ENSG00000008118_CAMK1G"	0.00	0.00	0.00	0.00
"ENSG00000008128_CDK11A"	316.84	307.76	309.67	335.24
"ENSG00000008130_NADK"	1031.00	920.00	833.00	1001.00
"ENSG00000008196_TFAP2B"	0.00	0.00	0.00	0.00
"ENSG00000008197_TFAP2D"	0.00	0.00	0.00	0.00
"ENSG00000008226_DLEC1"	85.00	67.00	82.00	106.00
"ENSG00000008256_CYTH3"	251.00	217.00	225.00	241.00
"ENSG00000008277_ADAM22"	6.00	16.00	19.00	19.00
